ETIQUETA,SIGNIFICADO,FAMILIA
EXG,EXTRÊME GAUCHE,OTRAS IZQUIERDAS
RDG,RADICALES DE GAUCHE,OTRAS IZQUIERDAS
COM,PARTI COMMUNISTE FRANÇAIS,OTRAS IZQUIERDAS
DVG,DIVERS GAUCHE,OTRAS IZQUIERDAS
SOC,PARTI SOCIALISTE,IZQUIERDA
VEC,LES VERTS,OTROS
ECO,ECOLOGISTE,OTROS
REG,RÉGIONALISTES,OTROS
DIV,DIVERS,OTROS
UDFD,UNION POR LA DÉMOCRATIE FRANÇAISE,CENTRO
UMP,UNION POUR UN MOUVEMENT POPULAIRE,DERECHA
MAJ,MAJORITÉ PRÉSIDENTIELLE,DERECHA
DVD,DIVERS DROITE,OTRAS DERECHAS
CPNT,CHASE PÊCHE NATURE TRADITIONS,OTRAS DERECHAS
MPF,MOUVEMENT POUR LA FRANCE,OTRAS DERECHAS
EXD,EXTRÊME DROITE,OTRAS DERECHAS
FN,FRONT NATIONAL,FN
