ETIQUETA,SIGNIFICADO,FAMILIA
EXG,EXTRÊME GAUCHE,OTRAS IZQUIERDAS
FG,FRONT DE GAUCHE,OTRAS IZQUIERDAS
DVG,DIVERS GAUCHE,OTRAS IZQUIERDAS
SOC,PARTI SOCIALISTE,IZQUIERDA
VEC,LES VERTS,OTROS
ECO,ECOLOGISTE,OTROS
REG,RÉGIONALISTES,OTROS
AUT,AUTRES,OTROS
DIV,DIVERS,OTROS
RDG,RADICALES DE GAUCHE,OTROS
CEN,LE CENTRE POUR LA FRANCE,CENTRO
ALLI,ALLIANCE CENTRISTE,CENTRO
PRV,PARTI RADICAL,CENTRO
NCE,NOUVEAU CENTRE,CENTRO
UMP,UNION POUR UN MOUVEMENT POPULAIRE,DERECHA
DVD,DIVERS DROITE,OTRAS DERECHAS
EXD,EXTRÊME DROITE,OTRAS DERECHAS
FN,FRONT NATIONAL,FN
